Название	Тикер	Цена	P/E	Рыночная капитализация/Активы, %	Активы/Задолженности, раз	Диведендная доходность %	Сфера деятельности	P/E < 15	Рыночная капитализация/Активы <150%	Активы/Задолженности > 2раз	Сумма
VULCAN MATERIALS CO	VMC	120,26	25,63205734	146,2667214840993	3,398183460724036	1,1308831	Non-Energy Minerals	0	1	1	2
VORNADO REALTY TRUST	VNO	53,58	3,35722392	56,845806365424465	2,073399092022595	4,9272113	Finance	1	1	1	3
VERISK ANALYTICS INC	VRSK	155,11	57,66155896	358,52588672185055	2,0752419331117453	0,6962801	Finance	0	0	1	1
VERISIGN	VRSN	189,75	37,00739993	1191,4891189848593	1,0318617779437556	0	Technology Services	0	0	0	0
VERTEX PHARMACEUTICAL	VRTX	224,03	49,56384702	698,254234044382	12,35720853814878	0	Health Technology	0	0	1	1
VENTAS INC	VTR	53,77	46,55945832	83,06669051224581	1,9897074682458917	5,8954806	Finance	0	1	0	1
VERIZON COMMUNICATIONS	VZ	54,16	11,83246298	76,78349196337672	2,1910802670812584	4,5420976	Communications	1	1	1	3
WATERS CORP	WAT	194,89	22,66943355	473,7470496332695	1,4404572184394837	0	Health Technology	0	0	0	0
WALGREENS BOOTS ALLIANCE INC	WBA	45,76	11,38019295	44,64088134174678	2,1592438473427653	3,999126	Retail Trade	1	1	1	3
WESTERN DIGITAL CORP	WDC	55,56	None	64,22529744779582	2,5626796154989595	3,599712	Electronic Technology	0	1	1	2
WEC ENERGY GROUP INC	WEC	92,33	26,69497444	81,26964078423056	2,8001562744178776	2,740171	Utilities	0	1	1	2
WELLTOWER INC	WELL	74,82	63,04637971	92,90623808913108	2,1691637373109534	4,6511626	Finance	0	1	1	2
WELLS FARGO & COMPANY	WFC	40,85	10,55601123	8,723633373415812	5,727834319526627	4,9938803	Finance	1	1	1	3
WELLS FARGO & COMPANY 7,5% PERP CONV PRF CLS A SERIES L	WFC/PL	1505	373,32786519	321,39701902058255	5,727834319526627	4,983389	Finance	0	0	1	1
WHIRLPOOL CORP	WHR	127,86	7,13328305	42,51458429108628	3,2717033443077455	3,7541063	Consumer Durables	1	1	1	3
WILLIS TOWERS WATSON PLC	WLTW	189,25	24,22299148	68,76325509512787	5,232791728212703	1,4372523	Finance	0	1	1	2
WASTE MANAGEMENT INC	WM	110,81	29,10348361	167,17702493694716	2,0190059528078605	1,9673315	Industrial Services	0	0	1	1
WILLIAMS COMPANIES INC	WMB	19,05	27,08124373	48,45178406611848	2,1190380939680846	8,398951	Industrial Services	0	1	1	2
WALMART INC	WMT	107,68	21,28192771	129,18139597031652	3,265017326356771	2,0059438	Retail Trade	0	1	1	2
WESTROCK CO	WRK	33,25	9,81639266	27,77812184841354	2,8208218978235298	5,593985	Process Industries	1	1	1	3
WESTERN UNION COMPANY (THE)	WU	22,39	9,25163971	105,60942604327226	2,522900103698583	4,019652	Finance	1	1	1	3
WEYERHAEUSER COMPANY	WY	25,98	None	119,82994026575643	2,511250574008878	5,234796	Finance	0	1	1	2
WYNN RESORTS LTD	WYNN	107,98	97,0151859	87,3099514967849	1,3657155764956819	3,7043896	Consumer Services	0	1	0	1
CIMAREX ENERGY CO	XEC	33,05	None	47,12614612629725	3,1572121664489643	2,6626325	Energy Minerals	0	1	1	2
XCEL ENERGY INC	XEL	62,32	24,5960707	62,0408175625676	2,567371395167576	2,7599487	Utilities	0	1	1	2
XILINX INC	XLNX	83,49	23,28490245	419,6014868652628	3,794045661372661	1,7726674	Electronic Technology	0	0	1	1
EXXON MOBIL CORPORATION	XOM	51,44	14,8490358	60,065847207781644	6,871662213125628	6,7651634	Energy Minerals	1	1	1	3
DENTSPLY SIRONA INC	XRAY	49,24	69,79977753	130,89431275995602	5,309894015358253	0,81234765	Health Technology	0	1	1	2
XEROX HOLDINGS CORPORATION	XRX	32,2	5,76074926	45,46624601487779	3,5161139654367117	3,10559	Electronic Technology	1	1	1	3
XYLEM INC	XYL	77,34	36,416994	180,76093385214008	3,3290155440414506	1,3447118	Producer Manufacturing	0	0	1	1
YUM BRANDS INC	YUM	89,25	22,36245174	513,2548939017396	0,46419380601650545	2,1064427	Consumer Services	0	0	0	0
ZIMMER BIOMET HOLDINGS INC	ZBH	136,15	25,58454142	114,05595506256418	2,898295514698098	0,7051047	Health Technology	0	1	1	2
ZIONS BANCORPORATION N A,	ZION	39,95	9,70379402	9,487384332925336	17,26628543013426	3,4042552	Finance	1	1	1	3
ZOETIS INC	ZTS	133,23	43,01541426	548,0767156344738	1,7371351188684923	0,60046536	Health Technology	0	0	0	0
